DATE,USALORSGPNOSTSAM
1988-09-01,100.838141327388
1988-10-01,100.931416850552
1988-11-01,101.031778693992
1988-12-01,101.128248797584
1989-01-01,101.213550479445
1989-02-01,101.282903045914
1989-03-01,101.333756153256
1989-04-01,101.366806829878
1989-05-01,101.383500109722
1989-06-01,101.384963463034
1989-07-01,101.372275902523
1989-08-01,101.347647720377
1989-09-01,101.316767693444
1989-10-01,101.292150667276
1989-11-01,101.286051203756
1989-12-01,101.303124630324
1990-01-01,101.331915256968
1990-02-01,101.35315753913
1990-03-01,101.347326131741
1990-04-01,101.3028352802
1990-05-01,101.211535171103
1990-06-01,101.067091342969
1990-07-01,100.866815652492
1990-08-01,100.611340457514
1990-09-01,100.308350606611
1990-10-01,99.9802332976372
1990-11-01,99.6553121830675
1990-12-01,99.3611604005658
1991-01-01,99.1179804755315
1991-02-01,98.9390238645874
1991-03-01,98.8273980857134
1991-04-01,98.7682469159502
1991-05-01,98.7408618860294
1991-06-01,98.7268558135491
1991-07-01,98.7159938364101
1991-08-01,98.7056749450135
1991-09-01,98.700122188312
1991-10-01,98.7094492931355
1991-11-01,98.7452339115018
1991-12-01,98.8149364747408
1992-01-01,98.9142890195176
1992-02-01,99.0339770597121
1992-03-01,99.1640038479365
1992-04-01,99.2964292973332
1992-05-01,99.4252268704401
1992-06-01,99.5457866481834
1992-07-01,99.6544883404399
1992-08-01,99.7469725905105
1992-09-01,99.8170698421902
1992-10-01,99.85670681917
1992-11-01,99.8585357501302
1992-12-01,99.8205530806888
1993-01-01,99.7531912477275
1993-02-01,99.6715870590946
1993-03-01,99.5898267382936
1993-04-01,99.516118248879
1993-05-01,99.4562034868151
1993-06-01,99.416013715912
1993-07-01,99.4031609331793
1993-08-01,99.4248142384065
1993-09-01,99.4834529920214
1993-10-01,99.5699434946199
1993-11-01,99.6714720297132
1993-12-01,99.7772325789764
1994-01-01,99.8828205267289
1994-02-01,99.9866255114979
1994-03-01,100.08601028308
1994-04-01,100.173390888218
1994-05-01,100.240375936404
1994-06-01,100.282543847727
1994-07-01,100.305442582742
1994-08-01,100.316884985825
1994-09-01,100.320442429186
1994-10-01,100.309602836128
1994-11-01,100.273765717832
1994-12-01,100.205059639902
1995-01-01,100.106710148633
1995-02-01,99.9877749553671
1995-03-01,99.8598673725068
1995-04-01,99.7352449848668
1995-05-01,99.6243331929877
1995-06-01,99.5329229172338
1995-07-01,99.4582811104626
1995-08-01,99.3948214545816
1995-09-01,99.3383601788162
1995-10-01,99.2893807242975
1995-11-01,99.2523322259544
1995-12-01,99.2342472336765
1996-01-01,99.24236421277
1996-02-01,99.2817366823206
1996-03-01,99.3507969592936
1996-04-01,99.4344779592716
1996-05-01,99.5134853667994
1996-06-01,99.572293397343
1996-07-01,99.6072658109754
1996-08-01,99.621071037857
1996-09-01,99.6186243033625
1996-10-01,99.6043953955854
1996-11-01,99.5837447798613
1996-12-01,99.5649592491341
1997-01-01,99.561610204593
1997-02-01,99.5869973213923
1997-03-01,99.6474173815221
1997-04-01,99.7332575152315
1997-05-01,99.8279003409963
1997-06-01,99.914613921374
1997-07-01,99.9826728130077
1997-08-01,100.026179128168
1997-09-01,100.044102766439
1997-10-01,100.041963830781
1997-11-01,100.027646025928
1997-12-01,100.00860600912
1998-01-01,99.9899358906704
1998-02-01,99.9757329588207
1998-03-01,99.9704142772119
1998-04-01,99.9796904971279
1998-05-01,100.00961053326
1998-06-01,100.064564866062
1998-07-01,100.143809564195
1998-08-01,100.242953231816
1998-09-01,100.353671137266
1998-10-01,100.461972209077
1998-11-01,100.553306897539
1998-12-01,100.617851653362
1999-01-01,100.657004147705
1999-02-01,100.678637734206
1999-03-01,100.694214389658
1999-04-01,100.717230312267
1999-05-01,100.760164217
1999-06-01,100.831008211626
1999-07-01,100.928465801097
1999-08-01,101.045294347576
1999-09-01,101.169784060584
1999-10-01,101.285916111113
1999-11-01,101.379953795989
1999-12-01,101.447719815872
2000-01-01,101.503508613321
2000-02-01,101.565222228504
2000-03-01,101.640494952952
2000-04-01,101.712525917469
2000-05-01,101.755018233375
2000-06-01,101.747441066903
2000-07-01,101.692452010205
2000-08-01,101.602078007739
2000-09-01,101.487436791712
2000-10-01,101.351237706984
2000-11-01,101.192424435503
2000-12-01,101.0124918444
2001-01-01,100.823499755591
2001-02-01,100.639006502802
2001-03-01,100.465940068053
2001-04-01,100.296418907253
2001-05-01,100.118149263904
2001-06-01,99.9245652013798
2001-07-01,99.7255736853722
2001-08-01,99.538879004296
2001-09-01,99.3819336538701
2001-10-01,99.263245901699
2001-11-01,99.1853216899765
2001-12-01,99.1448795865793
2002-01-01,99.1301590401407
2002-02-01,99.1265654181782
2002-03-01,99.1204509338079
2002-04-01,99.1020993885467
2002-05-01,99.0647748312486
2002-06-01,99.0046426930222
2002-07-01,98.922030663341
2002-08-01,98.8201423997865
2002-09-01,98.7053690057426
2002-10-01,98.5889618157171
2002-11-01,98.48422694937
2002-12-01,98.4038737973354
2003-01-01,98.356560919794
2003-02-01,98.3493481870016
2003-03-01,98.3877362030405
2003-04-01,98.4727835063454
2003-05-01,98.6023915515344
2003-06-01,98.7691418164853
2003-07-01,98.9548094386572
2003-08-01,99.1376263250668
2003-09-01,99.2981368362814
2003-10-01,99.4252271773797
2003-11-01,99.5139721101392
2003-12-01,99.5657862193895
2004-01-01,99.591239600426
2004-02-01,99.6040483911622
2004-03-01,99.6169557074905
2004-04-01,99.6385558568271
2004-05-01,99.6743503951523
2004-06-01,99.727202446769
2004-07-01,99.7967951966857
2004-08-01,99.8812816917622
2004-09-01,99.9777608878753
2004-10-01,100.081721276581
2004-11-01,100.187474956472
2004-12-01,100.288107890775
2005-01-01,100.37536624273
2005-02-01,100.441997543012
2005-03-01,100.485137335087
2005-04-01,100.511256153732
2005-05-01,100.530446551967
2005-06-01,100.552064562494
2005-07-01,100.581029118199
2005-08-01,100.620234559532
2005-09-01,100.672588636899
2005-10-01,100.742477486899
2005-11-01,100.832151379631
2005-12-01,100.937019484251
2006-01-01,101.039676486315
2006-02-01,101.119008688139
2006-03-01,101.159673679854
2006-04-01,101.163441870836
2006-05-01,101.141223181391
2006-06-01,101.107919646205
2006-07-01,101.079386760549
2006-08-01,101.068531939031
2006-09-01,101.081349159697
2006-10-01,101.111933260892
2006-11-01,101.150193425827
2006-12-01,101.188501269703
2007-01-01,101.228021317994
2007-02-01,101.274150738356
2007-03-01,101.332113178685
2007-04-01,101.40231481261
2007-05-01,101.482170427037
2007-06-01,101.567275573626
2007-07-01,101.652110433703
2007-08-01,101.72993025403
2007-09-01,101.792896259734
2007-10-01,101.83293004191
2007-11-01,101.844075029428
2007-12-01,101.826701123725
2008-01-01,101.793942725138
2008-02-01,101.759408696945
2008-03-01,101.726196544124
2008-04-01,101.676235224025
2008-05-01,101.579954851675
2008-06-01,101.407341996916
2008-07-01,101.142436323535
2008-08-01,100.780742550222
2008-09-01,100.333191819026
2008-10-01,99.8367645200579
2008-11-01,99.3374812147932
